Component,Data as of,Latest,MoM %,YoY %,Weight
Rent,2026-04-01,136.14,0.15,1.73,0.1915
Mortgage Payment,2026-01-01,162.91,—,-9.21,0.117
Food at Home,2026-04-01,131.67,0.68,2.95,0.1383
Gas,2026-06-01,161.02,12.78,29.37,0.1064
Auto Insurance,2026-04-01,155.8,0.14,0.2,0.0638
Credit Card Interest,2026-02-01,128.86,—,-2.79,0.0638
Dining Out,2026-04-01,136.11,0.23,3.55,0.0745
Utilities,2026-04-01,147.22,1.62,5.37,0.0319
Used Cars,2026-04-01,128.97,-0.0,-2.69,0.0426
Eggs,2026-04-01,154.0,-4.17,-56.07,0.0319
Home Insurance,2026-04-01,114.86,0.1,7.19,0.0319
Quarterly Reserve,2026-04-01,140.02,0.97,2.99,0.1064
