Date,Rent,Mortgage Payment,Food at Home,Gas,Auto Insurance,Credit Card Interest,Dining Out,Utilities,Used Cars,Eggs,Home Insurance,Quarterly Reserve
2020-01-01,19.1489,11.7021,13.8298,10.6383,6.383,6.383,7.4468,3.1915,4.2553,3.1915,3.1915,10.6383
2020-02-01,19.2204,11.7021,13.8689,10.1967,6.393,6.2809,7.4634,3.1932,4.291,3.1653,3.2016,10.6719
2020-03-01,19.2782,11.7021,13.9153,9.329,6.4235,6.2809,7.4746,3.1937,4.3238,3.3313,3.181,10.6863
2020-04-01,19.2542,10.8408,14.2587,7.6851,5.9564,6.2809,7.4855,3.2002,4.239,4.4104,3.1896,10.8626
2020-05-01,19.2022,10.8408,14.3818,7.8062,5.4319,5.967,7.5131,3.1921,4.2095,3.5825,3.1741,10.8821
2020-06-01,19.1573,10.8408,14.4638,8.6944,5.7127,5.967,7.5519,3.1952,4.0945,3.3946,3.1745,11.5682
2020-07-01,19.1687,10.8055,14.3121,9.1163,6.2497,5.967,7.5875,3.1923,4.1743,3.0604,3.1834,11.3634
2020-08-01,19.1747,10.8055,14.3203,9.1128,6.2825,6.2128,7.6091,3.1857,4.3981,2.901,3.1824,11.4343
2020-09-01,19.1871,10.8055,14.2645,9.1142,6.0579,6.2128,7.6514,3.2267,4.6687,2.9556,3.1828,11.4768
2020-10-01,19.2344,10.9002,14.2915,9.0109,5.9266,6.2128,7.6723,3.236,4.7601,3.0757,3.1901,11.6153
2020-11-01,19.3092,10.9002,14.2758,8.8029,6.0039,6.1561,7.6816,3.2572,4.7251,3.1675,3.1996,11.6053
2020-12-01,19.4074,10.9002,14.3423,9.1664,6.0943,6.1561,7.7103,3.2661,4.7068,3.2352,3.2028,11.8476
2021-01-01,19.5407,11.2826,14.3426,9.7468,6.1549,6.1561,7.7364,3.2515,4.6807,3.2024,3.2177,11.8097
2021-02-01,19.6844,11.2826,14.3586,10.4431,6.2097,6.0162,7.7405,3.2872,4.6894,3.4886,3.1791,11.8226
2021-03-01,19.8435,11.2826,14.3649,11.735,6.2593,6.0162,7.7497,3.3138,4.7286,3.5497,3.1748,11.8142
2021-04-01,20.0451,12.1886,14.4326,11.9348,6.3125,6.0162,7.7734,3.3666,5.1277,3.5388,3.1769,11.8564
2021-05-01,20.3085,12.1886,14.4847,12.4649,6.3465,6.1637,7.8162,3.3927,5.461,3.5497,3.174,11.8861
2021-06-01,20.6175,12.1886,14.5992,12.7929,6.3571,6.1637,7.8717,3.4009,5.9468,3.5869,3.1779,12.0421
2021-07-01,20.9352,12.7782,14.6806,13.0946,6.3474,6.1637,7.9332,3.4304,5.9129,3.5869,3.1801,12.1274
2021-08-01,21.2796,12.7782,14.7443,13.1856,6.3434,6.4775,7.967,3.4668,5.8009,3.7332,3.1741,12.2376
2021-09-01,21.6231,12.7782,14.9059,13.2574,6.3491,6.4775,8.0098,3.5102,5.8083,4.0085,3.1845,12.4465
2021-10-01,21.9173,13.7327,15.055,13.7397,6.3041,6.4775,8.0767,3.6037,6.0191,3.9779,3.1764,12.2787
2021-11-01,22.1694,13.7327,15.1907,14.1752,6.3533,6.2166,8.1253,3.6024,6.2105,3.7529,3.1675,12.213
2021-12-01,22.3906,13.7327,15.2765,13.8065,6.3542,6.2166,8.174,3.6054,6.4621,3.9058,3.1737,12.2266
2022-01-01,22.5756,14.3847,15.401,13.8403,6.4073,6.2166,8.2281,3.6904,6.577,4.2138,3.1639,12.2071
2022-02-01,22.7582,14.3847,15.6027,14.6865,6.4745,6.1145,8.2644,3.6886,6.6192,4.3798,3.1655,12.2958
