component_id,series_id,cadence,data_as_of,age_days,status,carried_forward,in_index,weight
rent,Metro_zori_uc_sfrcondomfr_sm_sa_month,monthly,2026-03-31,38.0,fresh,False,True,0.214286
mortgage_payment,(derived),quarterly,2026-01-01,127.0,fresh,False,True,0.130952
food_at_home,CUSR0000SAF11,monthly,2026-03-01,68.0,stale_ok,True,True,0.154762
gas,PET.EMM_EPMR_PTE_NUS_DPG.W,weekly,2026-05-04,4.0,fresh,False,True,0.119048
auto_insurance,CUSR0000SETE,monthly,2026-03-01,68.0,stale_ok,True,True,0.071429
cc_interest,TERMCBCCINTNS,quarterly,2026-02-01,96.0,fresh,False,True,0.071429
dining_out,CUSR0000SEFV,monthly,2026-03-01,68.0,stale_ok,True,True,0.083333
utilities,CUSR0000SEHF,monthly,2026-03-01,68.0,stale_ok,True,True,0.035714
used_cars,CUSR0000SETA02,monthly,2026-03-01,68.0,stale_ok,True,True,0.047619
eggs,APU0000708111,monthly,2026-03-01,68.0,stale_ok,True,True,0.035714
home_insurance,CUUR0000SEHD,monthly,2026-03-01,68.0,stale_ok,True,True,0.035714
quarterly_reserve,data/raw/manual/quarterly_reserve.csv,quarterly,,,deferred,False,False,0.0
